user,created_at,tweet,retweet_count,id_str,country,followers,language
janetshoemake,2019-05-01 15:03:31,@31BJN @WmScottBlair @ClarkKe95563197 @roosterpisces @DoodlesTrks @KentSailor @CharlieD2749 @RogerSwartz8… https://t.co/1PBIOxR2nc,0,1123603864773644289,,1674,en
pycon,2019-05-01 15:03:46,@mrbeersnob https://t.co/7mBIQNrAb0,0,1123603927302397953,,42596,en
mcrohner,2019-05-01 15:04:03,The right and wrong way to set Python 3 as default on MacOS https://t.co/pyH096G5Ls,0,1123603997523243011,,2516,de
thomasmullen,2019-05-01 15:04:17,"@JackHStocker Apocalypse Now, Monty Python and the Holy Grail, Raging Bull, This is Spinal Tap",0,1123604056570834946,,1922,en
joshrecruit,2019-05-01 15:04:24,"Senior Software Engineer required: #Polyglot, #Ruby #Python #Java #Go, working for a really exciting Data Driven… https://t.co/rmwIys3TOw",0,1123604087981903873,,5,en
pythontutorial2,2019-05-01 15:04:42,"How to Use Pandas GroupBy, Counts, and Value Counts

☞ https://t.co/bTRjlal1FA

#Python #Pandas #DataScience https://t.co/Z51NvE55cv",0,1123604160690163712,,427,en
porfirios187,2019-05-01 15:04:44,"@KJuke6 Good for you! Python is an amazing language. What are you taking next?
You may find some additional challen… https://t.co/AHXSgXkFnN",0,1123604172358717440,,1,en
books_syokai,2019-05-01 15:04:55,ゼロから作るDeep Learning ―Pythonで学ぶディープラーニングの理論と実装 https://t.co/LFKDBS843N https://t.co/1CgmxCIq8C,0,1123604216608710656,,47,ja
jobsicle_io,2019-05-01 15:05:03,Shopify is looking for a Stage d'ingénierie de l'infrastructure -… #c #ruby #rubyonrails #python #elasticsearch https://t.co/NfZsyYGf87,0,1123604250393763841,,147,en
ahmedfgad,2019-05-01 15:05:15,"Using #GeneticAlgorithm to reproduce images, starting with randomly generated ones and evolving the pixel values.… https://t.co/XxJCzUIDHF",0,1123604301161619457,,129,en
pythonbeginner4,2019-05-01 15:05:40,"How to Use Pandas GroupBy, Counts, and Value Counts

☞ https://t.co/Ckx9JuL8Av

#Python #Pandas #DataScience https://t.co/92CDxl4g6X",0,1123604406300225538,,1028,en
nick_kenney,2019-05-01 15:05:48,Hey @doellski,0,1123604440110571523,,27,en
thepsf,2019-05-01 15:06:01,Our Fundraising Drive starts TOMORROW. Help us raise $60K by May 22! Are you attending  #pycon2019? Sign up onsite… https://t.co/2N0sbPUkaJ,0,1123604493311139840,,249515,en
cfactoid,2019-05-01 15:06:02,"@nellarro @_jessicode After my longest previous career was teaching kids martial arts, I’m now the python platform… https://t.co/7JVtLgdrdo",0,1123604496683192320,,436,en
yuusharo,2019-05-01 15:06:04,"Need a 3rd party codec that doesn’t ship with AVFoundation?

Apple says, “Use Windows instead.”

Like I knew this w… https://t.co/1LUU2qTJcc",0,1123604506577555456,United States,1092,en
mrbeersnob,2019-05-01 15:06:07,@pycon https://t.co/YU9soPBxtE,0,1123604517415682054,,599,en
canstream,2019-05-01 15:06:08,We're delighted to be volunteering at the Registration Desk at @pycon in #Cleveland and honoured to have registered… https://t.co/EOTVbNoiQr,0,1123604522381795328,,563,en
